grain_type,initial_moisture_content,avg_internal_temp_c,days_since_fill,aeration_status,remaining_safe_storage_days
Rice,16.41,33.18,92,1,117
Barley,15.84,32.59,171,0,130
Wheat,16.5,22.85,79,1,178
Corn,11.18,15.95,78,0,152
Rice,11.42,28.9,55,0,156
Barley,11.78,31.23,158,0,134
Barley,12.51,24.17,52,0,206
Corn,15.54,33.71,88,0,88
Wheat,17.83,20.48,19,0,186
Corn,11.56,16.88,74,1,175
Corn,17.26,19.82,143,0,88
Corn,14.76,15.09,139,1,148
Barley,12.0,18.34,51,0,209
Barley,13.71,15.59,153,0,193
Wheat,12.79,23.18,63,1,198
Wheat,13.17,22.39,86,0,176
Corn,12.86,18.71,152,0,111
Wheat,16.96,16.94,103,0,159
Corn,14.61,16.33,94,1,166
Corn,15.21,20.47,5,0,179
Corn,16.13,15.69,152,1,145
Barley,15.63,16.59,96,1,214
Wheat,16.75,34.14,170,0,99
Corn,17.07,21.95,84,1,133
Barley,12.67,34.01,50,0,186
Corn,17.14,33.04,89,0,87
Barley,11.08,15.12,119,0,189
Rice,15.07,31.42,27,1,145
Barley,15.55,23.04,65,1,220
Wheat,13.19,30.2,77,0,132
Corn,11.19,32.69,118,0,64
Corn,16.85,18.97,56,0,96
Rice,14.46,31.21,31,0,159
Rice,13.57,33.21,153,0,85
Barley,14.68,16.99,48,0,200
Corn,11.19,25.69,88,1,174
Corn,17.04,27.83,51,0,118
Corn,12.92,20.84,153,0,110
Corn,14.0,32.88,149,0,86
Wheat,14.82,25.9,122,1,189
Barley,14.28,31.1,11,1,236
Barley,12.87,34.13,24,0,209
Corn,11.8,22.74,127,1,109
Barley,11.34,30.02,10,0,222
Corn,12.16,33.44,87,0,93
Rice,16.34,29.59,31,0,136
Wheat,13.98,21.15,25,0,210
Wheat,16.62,27.66,142,0,112
Rice,12.39,15.3,135,0,144
Barley,15.28,15.69,46,0,205
Wheat,15.53,34.38,58,0,172
Wheat,13.54,33.21,131,0,149
Wheat,13.65,19.8,154,0,131
Wheat,12.61,30.37,22,0,195
Barley,13.94,19.6,38,0,244
Wheat,14.92,22.56,79,0,183
Rice,15.35,33.39,144,0,90
Wheat,16.33,29.29,13,0,194
Barley,14.39,24.23,167,0,143
Corn,17.31,28.5,63,0,71
Wheat,17.86,29.95,20,0,176
Barley,14.01,15.14,158,0,158
Wheat,17.47,32.1,19,0,159
Wheat,11.46,33.49,178,1,126
Corn,14.43,22.36,61,0,124
Wheat,13.31,32.14,157,1,150
Rice,13.89,32.31,47,1,160
Corn,15.39,27.81,79,0,87
Barley,17.2,21.27,164,0,119
Corn,13.28,31.68,53,0,99
Corn,12.58,25.0,106,0,95
Rice,14.26,16.8,90,0,156
Corn,17.63,26.78,35,0,155
Barley,16.53,24.5,168,1,161
Corn,11.62,15.76,15,0,179
Barley,15.31,20.39,165,1,139
Wheat,17.02,30.77,16,1,166
Wheat,11.17,16.29,49,0,225
Corn,17.78,18.74,165,1,81
Rice,17.63,31.04,159,0,43
Barley,12.21,26.43,164,1,163
Rice,12.01,29.86,127,0,122
Barley,16.29,19.25,33,0,203
Rice,12.36,28.49,37,1,199
Wheat,16.1,26.13,30,0,171
Corn,17.66,32.48,49,0,83
Rice,11.54,16.61,128,0,131
Corn,17.09,30.73,143,1,59
Corn,15.63,22.88,77,1,123
Corn,12.5,33.88,53,1,149
Barley,13.5,34.79,112,0,136
Corn,11.29,24.64,66,0,131
Wheat,11.76,31.06,150,1,141
Barley,17.38,22.5,34,1,217
Barley,14.94,22.1,41,1,252
Wheat,17.72,21.69,144,1,138
Wheat,17.46,21.59,111,1,165
Corn,13.22,32.89,138,0,95
Corn,15.26,15.96,51,0,120
Rice,14.73,33.85,132,0,85
Wheat,17.67,16.43,10,1,231
Corn,13.28,18.39,10,0,200
Wheat,16.65,17.97,152,1,165
Corn,17.56,18.72,167,0,61
Rice,11.48,25.47,103,0,136
Barley,11.69,31.6,89,1,173
Wheat,16.13,20.38,20,1,221
Corn,13.8,20.46,72,0,165
Rice,17.09,16.34,100,1,180
Corn,14.36,24.65,69,0,132
Barley,15.31,25.68,35,0,190
Barley,11.44,17.62,82,0,194
Barley,16.4,29.43,178,0,119
Corn,17.67,21.79,81,0,105
Wheat,11.46,22.66,117,0,141
Barley,11.22,15.73,21,0,234
Wheat,12.19,24.37,16,1,250
Rice,13.83,30.75,73,1,185
Wheat,16.3,27.32,70,0,162
Rice,17.25,24.86,159,1,101
Wheat,16.37,24.83,141,0,108
Corn,11.61,23.48,93,0,143
Barley,17.57,25.81,120,0,140
Barley,17.58,15.75,110,1,196
Barley,14.89,29.21,157,0,136
Corn,16.53,26.11,60,0,130
Corn,12.83,16.69,94,0,136
Corn,15.92,28.41,161,1,68
Wheat,14.61,22.89,97,0,144
Rice,17.46,25.39,77,1,122
Rice,11.57,31.2,30,0,165
Barley,14.33,21.4,115,0,200
Corn,12.81,15.18,112,0,143
Rice,15.48,26.9,92,0,155
Corn,16.58,15.11,67,0,143
Barley,12.91,16.53,122,1,200
Barley,11.76,27.18,47,0,193
Rice,15.41,34.35,137,1,105
Rice,15.66,28.48,72,0,132
Corn,16.27,23.3,175,1,97
Wheat,15.95,27.83,16,0,185
Wheat,13.6,20.21,16,0,203
Corn,15.49,33.77,159,0,49
Corn,14.43,19.59,151,0,136
Corn,16.99,16.18,157,0,69
Corn,12.3,33.01,46,0,134
Barley,13.92,26.46,84,0,198
Barley,11.18,21.83,68,1,233
Barley,11.35,23.93,162,0,151
Barley,16.46,18.46,111,0,151
Wheat,17.19,20.69,149,0,130
Corn,17.8,18.62,35,0,100
Wheat,12.61,17.15,66,1,250
Rice,16.25,24.14,86,0,114
Barley,16.84,21.57,68,1,206
Wheat,15.71,19.3,64,0,188
Corn,11.05,33.2,79,0,82
Wheat,15.52,22.73,155,0,154
Barley,13.27,15.72,77,1,253
Barley,11.06,26.17,99,1,202
Wheat,15.31,29.12,153,1,140
Rice,14.78,30.71,95,0,130
Wheat,13.82,19.1,19,0,206
Corn,16.76,20.39,54,0,132
Corn,13.69,17.69,68,1,185
Corn,14.2,29.84,109,0,101
Rice,17.48,30.77,114,0,95
Rice,14.53,15.61,114,0,158
Barley,11.8,29.17,28,1,224
Corn,15.15,25.91,31,0,130
Rice,17.5,33.02,155,0,52
Rice,16.2,22.76,150,0,94
Corn,17.73,18.04,155,0,47
Corn,12.99,32.27,162,0,84
Barley,13.18,28.65,83,0,165
Barley,16.79,31.87,80,1,168
Wheat,11.27,32.87,5,0,198
Corn,11.42,15.91,76,1,200
Barley,13.77,18.94,33,1,260
Barley,16.97,20.75,109,0,173
Rice,11.07,24.74,139,0,133
Corn,12.22,33.84,66,0,103
Rice,14.49,32.56,124,0,89
Wheat,11.98,26.24,168,1,172
Corn,12.27,17.34,27,1,200
Rice,16.18,32.59,170,1,95
Rice,13.92,32.16,122,1,116
Corn,11.35,20.39,111,0,133
Rice,12.02,28.71,36,1,180
Wheat,13.42,15.19,74,0,212
Rice,16.64,18.82,163,1,147
Barley,14.68,17.41,144,0,166
Rice,17.82,25.12,74,0,145
Barley,13.92,17.27,17,1,260
Barley,14.58,24.8,68,0,194
Corn,14.79,32.93,111,0,52
Corn,11.07,21.17,94,0,145
Rice,12.76,25.97,41,1,183
Rice,17.84,17.64,165,1,138
Barley,15.1,30.15,175,0,116
Corn,16.93,15.03,61,1,158
Barley,16.52,28.11,88,0,160
Barley,15.63,23.87,100,0,157
Corn,17.91,16.63,85,0,95
Rice,17.41,34.9,105,1,103
Corn,14.93,33.44,162,0,57
Rice,16.75,15.94,134,0,122
Corn,16.01,25.43,122,0,66
Rice,13.52,19.14,65,0,170
Barley,13.91,20.58,52,0,210
Barley,16.05,15.97,8,0,223
Corn,14.08,29.99,26,0,152
Wheat,11.83,25.43,22,0,210
Barley,16.88,27.03,173,0,110
Rice,13.25,25.14,43,0,154
Corn,15.6,21.12,176,0,75
Wheat,16.89,28.32,35,0,165
Corn,17.2,15.83,77,1,159
Barley,16.73,31.33,73,1,190
Corn,14.34,31.33,57,0,117
Rice,16.42,34.46,47,1,140
Barley,13.33,30.57,152,0,136
Corn,14.76,33.41,103,0,58
Wheat,17.87,20.68,43,1,194
Corn,14.15,28.64,169,1,81
Rice,15.57,26.65,34,0,169
Wheat,11.6,22.25,127,1,202
Rice,12.54,17.56,83,1,185
Barley,11.14,30.19,130,1,191
Rice,12.58,21.95,19,0,188
Barley,16.87,16.62,47,1,237
Barley,17.64,20.04,29,0,193
Rice,14.81,24.5,12,1,203
Barley,13.16,23.3,64,0,223
Barley,12.71,25.11,115,0,174
Barley,13.85,21.87,99,0,200
Barley,17.76,17.6,169,0,131
Rice,12.11,27.69,116,0,98
Barley,15.77,31.38,5,0,209
Barley,11.8,16.08,15,0,221
Wheat,12.92,27.61,9,1,236
Corn,15.97,31.17,17,1,137
Barley,16.47,34.04,64,1,170
Wheat,13.31,27.52,164,1,153
Barley,14.02,25.4,47,1,221
Barley,12.69,22.73,91,1,243
Barley,13.57,28.31,47,0,179
Corn,15.32,21.58,75,0,114
Barley,16.15,24.03,168,1,171
Corn,17.51,16.65,177,1,92
Barley,14.85,19.01,34,1,257
Corn,17.1,29.28,14,0,122
Barley,12.2,33.77,93,1,187
Wheat,14.32,32.23,94,0,154
Rice,17.57,17.24,135,0,118
Rice,16.34,19.08,88,0,159
Rice,12.88,26.83,15,0,186
Rice,12.6,22.12,71,0,170
Barley,16.37,26.88,80,0,179
Wheat,16.05,31.47,128,1,144
Wheat,17.18,19.8,169,1,140
Wheat,16.52,22.08,5,1,213
Barley,13.18,17.41,139,0,198
Rice,13.43,27.12,83,1,162
Wheat,15.01,16.79,162,1,183
Barley,12.92,33.69,120,1,171
Barley,13.83,20.75,10,0,245
Barley,13.72,33.14,178,0,111
Barley,13.31,30.54,164,1,180
Barley,12.55,21.84,116,0,160
Rice,11.4,27.31,145,0,136
Barley,11.34,26.76,40,0,217
Barley,11.2,19.46,49,0,200
Wheat,14.88,19.61,41,0,198
Corn,15.76,16.01,113,0,106
Rice,15.79,34.33,22,1,122
Barley,14.02,31.23,149,0,146
Wheat,13.37,28.02,98,1,171
Wheat,16.24,31.59,31,0,153
Rice,14.17,18.6,155,0,134
Barley,14.02,25.17,113,1,181
Barley,12.28,15.27,24,1,258
Corn,11.22,34.36,140,0,118
Barley,13.16,19.49,67,0,211
Corn,16.01,21.79,42,0,160
Wheat,15.66,26.21,105,1,181
Corn,11.48,18.0,164,1,150
Corn,16.66,25.9,124,0,88
Corn,17.11,24.97,159,1,59
Corn,15.38,19.04,90,1,146
Corn,14.93,23.69,73,0,104
Corn,13.93,16.83,161,0,70
Corn,15.78,33.95,50,0,129
Corn,11.38,16.18,157,1,145
Rice,12.37,29.68,109,0,122
Rice,17.89,20.98,29,0,170
Barley,15.94,28.92,22,0,176
Rice,14.68,27.25,169,0,104
Wheat,16.1,25.83,89,0,150
Barley,15.09,30.28,25,0,223
Wheat,16.94,20.18,15,0,197
Rice,11.77,17.88,58,0,167
Rice,14.85,30.06,73,0,126
Rice,12.14,23.95,99,0,165
Barley,17.17,34.64,65,1,148
Corn,16.71,28.55,89,1,131
Barley,11.5,26.2,46,0,212
Rice,11.01,25.92,142,0,114
Barley,16.24,34.78,176,0,126
Rice,15.87,27.59,44,1,158
Rice,16.25,30.21,86,0,119
Wheat,12.27,31.6,58,0,147
Corn,16.54,24.06,155,0,55
Rice,12.68,26.87,74,0,168
Corn,16.85,27.19,15,0,150
Rice,16.56,22.5,111,1,167
Rice,17.58,18.97,146,1,131
Barley,16.16,32.8,9,0,223
Corn,13.99,15.15,98,1,186
Wheat,17.34,24.95,173,0,93
Wheat,16.29,31.59,37,0,140
Barley,14.37,29.64,28,0,206
Wheat,14.04,22.35,71,1,220
Barley,17.03,16.77,126,0,141
Wheat,12.79,32.36,177,0,99
Corn,17.61,30.69,121,1,32
Barley,15.26,27.16,78,1,214
Barley,12.59,31.07,55,1,227
Barley,12.44,33.57,45,0,189
Rice,13.78,16.92,26,0,170
Wheat,12.38,32.59,163,1,164
Corn,12.51,17.15,48,0,152
Wheat,12.24,21.41,43,1,221
Wheat,12.58,32.12,123,0,146
Barley,14.8,34.51,26,0,227
Corn,12.64,27.72,96,0,113
Corn,15.91,16.63,125,1,132
Barley,13.85,30.0,102,0,177
Rice,17.83,16.16,40,1,163
Wheat,17.75,34.7,25,1,159
Barley,11.16,28.2,52,1,222
Barley,12.97,19.19,151,0,156
Barley,11.4,32.94,171,0,141
Barley,13.08,31.82,106,0,158
Rice,13.83,23.69,80,0,146
Corn,14.38,32.32,89,0,108
Rice,11.31,22.71,83,0,187
Wheat,11.25,29.88,42,1,223
Wheat,13.88,27.52,92,0,137
Rice,13.62,34.83,39,0,149
Wheat,12.82,31.99,169,0,103
Rice,11.52,17.75,117,0,150
Rice,14.62,21.61,22,1,203
Wheat,11.3,15.54,116,0,189
Corn,12.62,34.33,119,1,79
Barley,12.05,34.3,45,0,188
Wheat,14.0,18.92,59,1,243
Rice,15.27,17.89,78,1,194
Wheat,17.81,17.08,121,1,140
Wheat,12.06,33.32,42,0,174
Barley,14.77,28.72,84,1,213
Corn,15.51,27.43,171,0,41
Rice,13.0,24.17,104,0,106
Rice,14.91,29.82,61,1,159
Rice,17.99,20.85,22,0,135
Rice,16.34,32.72,9,0,142
Wheat,16.35,19.38,159,0,146
Rice,13.44,19.49,141,1,164
Wheat,15.83,22.63,107,0,148
Barley,17.75,28.97,177,0,99
Corn,12.57,34.0,60,0,97
Rice,12.93,22.71,178,0,102
Wheat,13.38,21.95,90,1,189
Rice,15.11,27.17,174,1,105
Wheat,17.19,30.97,121,0,91
Barley,13.73,34.4,13,0,210
Barley,17.53,34.98,114,1,156
Rice,16.0,16.32,87,1,202
Barley,14.5,34.74,163,0,125
Corn,13.93,33.4,67,1,108
Barley,15.22,34.39,106,0,163
Corn,17.45,34.12,5,1,125
Barley,17.05,25.25,58,0,194
Rice,16.79,28.52,137,0,80
Rice,13.56,28.0,87,0,136
Corn,17.21,28.52,150,0,84
Wheat,16.65,22.15,170,0,167
Rice,13.14,30.33,75,0,151
Corn,15.95,21.1,138,1,122
Rice,13.13,28.92,64,0,148
Corn,16.66,26.25,130,1,94
Barley,12.52,24.5,83,0,176
Wheat,14.84,31.48,138,1,153
Wheat,13.5,21.51,164,0,116
Corn,13.81,20.01,142,1,137
Rice,12.04,30.99,132,1,135
Corn,13.18,21.79,154,1,123
Wheat,11.86,16.68,157,1,188
Barley,16.75,29.55,165,0,116
Wheat,15.11,28.5,52,1,183
Barley,12.54,17.29,102,1,236
Barley,16.16,29.44,171,1,116
Barley,17.44,28.31,136,0,112
Barley,14.74,34.88,61,0,182
Wheat,11.55,21.16,124,1,182
Rice,12.09,33.67,128,0,117
Barley,12.52,29.59,10,0,233
Wheat,11.1,23.74,115,0,164
Rice,11.89,15.89,43,0,177
Barley,12.23,27.9,63,0,213
Barley,12.93,15.47,109,1,246
Corn,15.51,34.4,59,0,124
Barley,15.09,27.44,124,1,190
Corn,15.05,19.71,100,0,131
Wheat,15.7,22.45,151,0,149
Wheat,17.7,34.58,129,0,93
Barley,11.94,15.17,170,1,199
Wheat,15.88,34.92,90,1,148
Corn,16.86,22.83,108,1,114
Rice,14.18,34.29,95,1,112
Barley,17.01,30.0,131,0,148
Wheat,15.06,34.98,122,1,163
Rice,17.4,33.22,163,1,84
Corn,13.55,24.79,18,0,179
Barley,15.85,19.68,14,1,255
Wheat,17.55,21.9,32,1,193
Barley,14.11,26.65,27,1,200
Corn,15.77,20.24,142,1,105
Corn,17.0,16.24,36,1,154
Rice,12.34,34.88,107,1,134
Rice,14.47,22.69,83,0,128
Wheat,12.14,22.72,61,0,194
Barley,12.28,20.0,127,1,212
Corn,16.11,28.9,177,1,57
Rice,12.65,33.4,20,0,148
Corn,17.25,26.5,43,1,134
Corn,12.58,27.9,164,0,74
Barley,13.39,16.76,14,0,248
Rice,14.38,34.32,33,0,159
Corn,16.46,28.11,89,0,109
Corn,11.6,31.8,42,0,148
Corn,17.86,32.48,159,1,36
Barley,12.09,33.73,42,0,205
Wheat,15.28,17.82,140,0,146
Corn,11.87,23.4,5,0,190
Barley,14.6,26.48,48,0,205
Barley,11.88,20.51,130,1,199
Barley,13.34,20.18,136,0,152
Rice,12.75,15.67,36,1,220
Wheat,15.04,34.7,109,1,178
Rice,17.62,23.51,24,0,137
Rice,11.36,21.0,5,0,207
Barley,14.65,34.03,96,1,173
Corn,12.01,31.79,82,0,95
Barley,13.35,28.01,51,0,176
Wheat,14.63,33.22,54,0,181
Barley,12.34,31.69,61,0,176
Wheat,14.91,33.26,68,0,158
Wheat,15.3,15.35,16,0,205
Wheat,16.46,20.91,99,1,180
Corn,16.04,31.79,57,0,93
Barley,17.85,24.08,131,1,168
Wheat,12.27,21.67,179,1,147
Wheat,17.36,27.08,151,1,115
Corn,12.66,28.69,59,1,173
Corn,13.05,23.0,62,1,181
Corn,14.31,15.51,117,0,128
Barley,14.06,20.62,159,1,184
Corn,17.89,18.57,125,1,92
Rice,15.7,32.89,9,1,209
Barley,17.58,18.16,120,0,155
Corn,17.1,34.04,71,0,74
Corn,15.62,23.97,47,0,124
Barley,17.35,34.57,114,0,98
Barley,12.7,18.75,88,0,210
Rice,17.94,18.57,122,0,129
Corn,15.36,19.44,63,1,168
Corn,15.66,31.66,102,0,69
Wheat,11.86,31.53,109,1,146
Wheat,18.0,34.95,147,0,64
Corn,11.31,16.56,159,0,86
Barley,14.04,28.36,105,0,171
Corn,15.18,24.93,84,0,80
Corn,13.9,31.12,155,1,83
Wheat,12.09,30.33,159,0,121
Wheat,12.8,15.85,124,0,159
Rice,16.43,19.64,156,0,88
Wheat,16.3,24.39,83,0,183
Wheat,11.36,31.85,51,1,214
Barley,14.49,32.64,147,0,126
Barley,14.75,17.08,132,1,237
Wheat,14.8,16.92,64,1,250
Corn,13.15,18.94,153,1,107
Wheat,11.24,33.84,125,0,129
Wheat,13.88,15.27,139,0,148
Corn,15.55,20.05,93,0,140
Rice,12.73,29.49,100,0,137
Corn,15.66,23.2,26,1,162
Wheat,14.95,21.03,90,0,182
Corn,15.08,17.17,154,1,134
Barley,14.83,31.14,178,1,127
Rice,13.42,32.84,52,0,141
Corn,15.92,26.24,72,0,103
Wheat,15.76,33.19,43,1,198
Corn,17.19,15.53,147,1,112
Barley,15.06,30.73,81,0,153
Rice,11.62,28.34,120,1,118
Barley,13.47,21.74,177,0,151
Wheat,15.48,17.64,37,0,182
Wheat,14.27,18.27,129,0,123
Barley,11.35,22.74,92,1,198
Rice,15.77,25.08,66,0,143
Barley,16.97,24.0,136,0,139
Corn,17.87,31.8,45,0,85
Barley,17.67,21.18,148,1,148
Rice,14.8,19.03,91,0,122
Rice,15.64,20.64,29,0,166
Corn,11.28,32.93,26,0,123
Rice,12.58,27.04,86,0,158
Rice,12.31,30.19,141,0,119
Wheat,17.11,22.82,36,0,173
Wheat,15.51,20.65,147,0,149
Barley,12.78,26.99,122,0,161
Wheat,17.88,17.39,160,1,131
Corn,15.65,18.09,55,1,167
Rice,11.82,33.01,7,0,166
Barley,12.74,19.89,13,0,211
Wheat,15.64,34.67,95,1,185
Barley,16.12,30.93,96,0,138
Barley,14.66,29.72,30,1,226
Corn,11.27,18.86,96,1,178
Corn,13.12,28.75,92,1,126
Corn,13.76,33.25,156,0,78
Corn,16.81,31.48,73,1,89
Barley,17.02,27.24,138,0,138
Barley,16.45,33.51,55,1,184
Rice,14.66,29.51,126,0,99
Corn,13.26,18.34,27,0,169
Corn,14.78,16.55,167,1,135
Rice,17.52,21.68,154,0,84
Rice,13.78,31.47,114,0,115
Barley,11.23,33.77,9,0,233
Corn,14.42,18.97,150,0,103
Barley,11.51,21.07,156,0,132
Wheat,14.27,24.87,136,1,148
Wheat,12.07,29.56,51,1,228
Barley,16.36,29.69,172,1,147
Barley,14.87,34.83,55,0,182
Corn,13.87,17.89,62,0,150
Barley,12.2,20.69,68,0,212
Corn,15.71,28.86,156,0,73
Rice,11.49,26.14,60,0,178
Barley,11.66,17.33,167,0,138
Corn,17.64,21.75,26,0,116
Corn,12.67,26.13,37,0,116
Rice,12.49,30.46,115,1,126
Wheat,13.98,28.5,67,1,166
Wheat,12.9,25.35,84,1,212
Wheat,17.6,16.82,130,0,155
Rice,15.92,19.76,129,0,127
Rice,12.03,20.3,165,1,173
Corn,15.4,20.65,137,0,118
Corn,13.61,23.45,93,0,108
Wheat,11.93,32.31,82,1,192
Rice,15.34,23.02,12,0,187
Rice,12.16,17.98,139,0,142
Wheat,11.39,28.7,161,0,128
Barley,15.23,31.51,142,0,146
Barley,11.14,15.68,29,0,209
Corn,16.67,29.21,101,0,98
Wheat,12.44,26.64,34,0,200
Barley,16.53,22.23,73,0,205
Barley,11.19,22.85,25,1,256
Barley,11.34,17.08,62,0,216
Wheat,14.94,20.08,175,0,118
Wheat,15.74,24.01,136,0,129
Corn,12.16,30.45,123,0,100
Wheat,11.27,15.02,36,0,245
Rice,17.44,32.88,31,1,139
Barley,17.59,22.33,50,0,190
Wheat,15.25,29.88,137,1,149
Rice,11.44,20.27,29,1,220
Wheat,12.75,34.97,125,1,126
Rice,15.73,34.38,10,1,183
Rice,15.17,29.56,82,1,133
Wheat,11.81,21.89,74,0,196
Barley,17.94,34.79,172,1,107
Wheat,12.75,16.87,80,1,232
Corn,16.73,26.5,179,0,47
Wheat,16.79,25.73,10,0,184
Rice,15.54,15.49,14,0,170
Barley,11.64,22.13,41,1,233
Wheat,12.29,20.13,36,0,220
Wheat,16.24,20.2,137,1,180
Rice,14.04,25.94,112,0,124
Barley,17.58,25.84,81,0,158
Wheat,14.97,29.59,20,0,232
Rice,14.63,19.4,139,1,169
Wheat,14.87,32.69,60,1,187
Rice,15.36,17.81,70,1,219
Rice,11.06,33.27,46,1,154
Rice,12.64,22.3,155,0,112
Rice,14.2,27.42,87,0,115
Rice,17.26,26.86,90,1,118
Wheat,15.04,29.51,34,0,168
Barley,16.45,21.18,178,1,141
Barley,13.79,27.82,28,0,218
Corn,16.59,17.86,110,0,123
Corn,13.43,32.98,86,0,108
Barley,15.47,24.48,80,1,194
Barley,11.02,24.09,23,1,248
Corn,16.45,19.57,172,1,79
Rice,17.28,23.92,165,1,100
Barley,17.91,27.58,116,0,121
Corn,14.61,24.97,75,1,152
Barley,11.35,21.51,69,0,194
Rice,12.34,21.2,53,0,168
Rice,13.83,20.73,87,1,178
Barley,14.95,21.45,70,1,229
Rice,17.01,19.42,19,1,183
Barley,13.7,20.71,133,1,216
Wheat,15.59,26.0,88,0,169
Rice,15.26,22.67,154,1,114
Rice,12.3,28.77,132,1,100
Barley,16.06,20.05,111,0,173
Wheat,14.72,20.46,15,0,232
Corn,12.3,27.0,46,1,191
Rice,15.21,25.28,34,0,146
Corn,13.27,15.97,66,1,199
Corn,12.52,27.85,47,0,159
Corn,12.16,33.52,34,1,150
Wheat,11.38,23.92,81,1,186
Wheat,13.65,30.33,17,0,206
Rice,15.1,17.99,134,0,133
Barley,17.68,25.63,143,0,151
Wheat,17.48,31.41,159,0,100
Wheat,13.65,21.37,96,0,172
Barley,17.66,16.85,63,0,213
Barley,11.63,35.0,122,1,147
Wheat,15.78,17.28,39,1,225
Barley,17.63,33.26,31,1,172
Barley,16.47,30.97,138,0,124
Barley,14.23,34.63,45,1,224
Wheat,15.4,29.02,34,0,164
Wheat,11.49,24.29,105,0,183
Barley,16.24,16.51,118,1,204
Rice,14.0,31.42,90,0,140
Wheat,13.98,15.36,129,0,178
Corn,13.33,24.02,163,0,74
Corn,11.4,24.15,103,0,124
Corn,11.16,32.81,67,1,129
Rice,12.77,29.12,108,1,138
Barley,12.36,27.42,87,0,202
Barley,16.51,20.6,96,0,169
Barley,16.95,15.07,43,0,223
Barley,13.28,17.51,141,0,174
Corn,16.55,29.56,157,0,57
Barley,16.58,21.48,122,1,198
Rice,13.41,16.57,22,0,181
Wheat,11.29,16.42,80,0,187
Rice,14.29,17.5,154,0,109
Wheat,12.13,17.05,150,0,160
Wheat,13.36,27.38,162,0,123
Wheat,16.98,34.72,31,0,168
Corn,17.7,16.74,61,0,114
Corn,13.81,16.39,135,1,151
Corn,14.62,27.94,167,1,73
Wheat,12.43,32.0,149,0,129
Rice,17.74,15.57,128,1,125
Wheat,15.85,27.4,38,0,210
Corn,16.59,23.54,30,1,148
Rice,12.94,30.39,28,1,182
Rice,11.29,26.13,124,1,158
Wheat,16.89,29.95,143,0,111
Barley,12.59,32.35,116,0,139
Barley,14.12,28.23,13,1,260
Wheat,16.7,32.57,77,0,127
Wheat,16.43,26.88,170,1,132
Wheat,15.99,23.91,105,1,191
Corn,11.99,31.25,70,1,143
Barley,11.39,32.38,30,0,208
Wheat,13.45,27.77,81,0,172
Barley,13.08,23.57,35,1,248
Barley,17.85,16.4,66,1,229
Corn,17.05,17.96,150,1,109
Rice,11.78,28.12,98,0,113
Barley,11.01,22.58,45,0,213
Barley,11.25,25.14,150,1,171
Barley,16.97,17.81,169,1,161
Rice,17.95,21.83,126,0,116
Corn,16.06,27.04,109,0,111
Corn,16.8,22.67,68,0,124
Rice,17.83,15.21,24,1,193
Rice,13.91,30.36,124,0,110
Barley,14.26,23.04,56,0,208
Barley,11.59,29.53,25,1,214
Wheat,15.73,19.71,23,1,250
Barley,11.6,29.87,104,0,195
Corn,11.51,23.66,148,0,120
Rice,13.83,32.21,34,1,173
Barley,14.5,34.82,19,0,178
Wheat,14.18,28.04,170,1,139
Barley,12.7,21.56,10,0,242
Corn,12.23,18.64,151,1,135
Barley,11.86,23.17,120,1,211
Wheat,17.48,24.67,161,0,107
Rice,16.85,31.35,141,0,75
Wheat,16.94,28.6,142,0,103
Rice,17.72,25.06,59,1,168
Barley,12.25,17.55,155,0,173
Barley,11.56,24.64,60,0,186
Rice,14.99,17.52,90,0,169
Wheat,16.81,22.83,107,0,132
Barley,13.16,33.93,59,0,141
Wheat,14.3,27.65,8,0,207
Corn,13.52,29.77,154,0,67
Barley,13.36,19.15,75,0,211
Wheat,15.78,19.11,129,1,198
Corn,14.86,22.73,165,1,109
Wheat,13.92,15.72,46,1,250
Barley,11.11,30.51,159,1,162
Corn,13.16,31.77,131,0,79
Wheat,17.72,33.5,157,0,74
Corn,17.07,30.48,23,0,95
Rice,15.73,30.27,70,0,139
Corn,15.72,20.02,112,1,135
Wheat,12.59,22.86,119,0,172
Rice,17.45,29.94,107,1,141
Corn,11.8,23.05,8,1,188
Rice,16.51,20.47,71,0,139
Wheat,16.24,34.12,54,1,179
Barley,12.81,21.53,108,0,174
Rice,11.62,29.1,142,1,127
Corn,14.27,27.7,165,0,66
Rice,17.96,32.13,143,0,58
Wheat,15.93,16.44,125,0,167
Corn,15.51,20.48,134,0,81
Wheat,11.0,32.28,73,0,184
Rice,17.85,32.95,123,0,81
Wheat,14.67,18.3,161,0,146
Wheat,15.78,27.21,86,0,164
Rice,12.61,15.7,54,1,216
Rice,12.16,28.74,160,0,111
Wheat,15.25,27.95,50,0,180
Wheat,11.18,20.61,148,1,175
Corn,12.75,29.57,21,0,164
Wheat,12.94,26.18,168,0,149
Wheat,15.2,17.13,112,0,164
Barley,15.28,25.27,20,0,222
Barley,16.79,30.87,55,0,163
Rice,16.44,19.15,26,0,154
Rice,11.87,20.3,138,0,127
Barley,12.16,32.31,102,0,161
Corn,12.9,18.1,37,1,197
Corn,14.63,28.7,47,1,142
Barley,15.19,27.99,58,0,192
Corn,17.33,32.01,52,0,78
Barley,13.47,26.04,38,0,216
Barley,17.3,18.27,17,0,202
Wheat,13.8,33.27,89,1,167
Barley,13.71,15.1,134,0,210
Wheat,13.34,23.27,61,0,166
Corn,16.62,15.03,112,1,124
Barley,12.83,17.47,121,0,173
